prof,gender,class,class_abrev,review_grade,review_text
Dwight Read,NA,Hunting and Gathering Societies,ANTHRO 158,N/A,"Professor Read is a very nice man who truly cares about his students.  However, I found his class rather boring.  The midterm and 1/2 of the final were multiple choice, which I felt was an ineffective way to test knowledge about social systems.  I didn't put too much effort into the class and pulled a B+... I think an A would have been completely feasable, had I been more interested in the topic."
Dwight Read,NA,Hunting and Gathering Societies,ANTHRO 158,N/A,"Professor Read is a fine teacher, but those taking his courses should keep in mind a few facts.  First, he is a mathematical anthropologist, so while you won't be expected to do differential equations, you will be expected to demonstrate a good grasp of complex kinship and social patterns.  Secondly, his exams can be a bit tricky.  Make sure you have *all* the lecture notes for this class, in addition to reading the finer points in the text on social exchanges.  Overall, I learned a large amount of information in this class, and I consider it worthwhile, though it was by far my most difficult class to date.  If you're interested in getting an easy A, don't take this course.  If you're interested in applying yourself as an anthropologist, Professor Read is an excellent guide to that goal."
Barnett A Schlinger,NA,Neuroscience: From Molecules to Mind -- Behavioral and Cognitive Neuroscience,NEUROSC M101C,N/A,"His material was interesting, and he's a good lecturer. That being said, I thought his exam was too focused; the majority of the points coming from only two questions is fairly ridiculous (and I'm not simply being bitter, I actually did pretty well). And he didn't seem to care about students. At all."
Barnett A Schlinger,NA,Foundations in Physiological Science,PHYSCI 111B,N/A," Pros: - Goes at a slow pace making it easier to absorb - is clear and concise making the information very understandable- the material was very interesting and fun. Its hormones, so if your interested in endocrinology, youll love this module.  Cons: - can mumble and be monotone from time to time- uses the chalkboard for lecture, making it hard to read some of his writing and diagrams so SIT UP CLOSE and recording lectures will definitely help. I suggest doing it. - the questions on the midterm were very ambiguous and vague. So you really have to regurgitate everything you know from the lectures. Anything you think might be related to the question WRITE IT DOWN and make sure to write down the keywords associated with that question because the TAs grade based on those keywords. The test is out of 100 points, most being short answers, one long answer, and term definitions.  Overall, he's a great lecturer and worth taking the class with.  As for the entire Physci 111B, MAKE SURE YOU DO WELL IN YOUR DISCUSSIONS. if you do, they will help your grade tremendously considering it was a bigger portion of our grade and worth 120 points. Do well on the quizzes and critiques and dont just shrug off the points you get docked off for because they will build up. And also PARTICIPATE. The TA will not only give you points but it will help you stay on track with the material and help you absorb it better. These are supposed to be easy points, so take advantage of them.  For me, I was somehow able to get an A+ in the class, despite my horrendous experience in 111A and almost getting dropped from the major after getting a C. so for those afraid of going into 111B, I will say that the class is better and the material is much more interesting and enjoyable. BUT YOU STILL HAVE TO STUDY YOUR BUTT OFF.  "
Barnett A Schlinger,NA,Foundations in Physiological Science,PHYSCI 111B,N/A," Hi everyone. So I decided to be a nice guy and give some input the his section.  This is 2014 spring quarter. 111B was taught by B. Schlinger, A. Watson, Metzner. Schlinger taught the endocrine module. I personally enjoyed his teaching style. He is good ol' chalk and eraser type of lecturer.  Record his lecture and actually relisten to it! Write down everything he says (word for word pref). Then trim the fat (shit he mumbles). Bold the key phrases and think of those as points you would get on exams. (I wish someone told me this because I spent too much time rewriting shit down) (1) go to class and type notes...whenever he has pictures or diagrams you should make a note on the typed notes and draw the image on a piece of paper (2) relisten to lecture and finish typing his lecture up. (3) trim the fat and condense the notes so they are easy to look at. This shouldn't take too long since all you have to do is copy and paste into a nice format (my rule is one page per lecture) in the end you should have 5-6 pages of nice notes to review.  Exams:How I felt coming out: ""Damn that exam was so easy wtf"" Reality:78/100 (average 76/100) Explanation: He is the epitome of ""brain vomiting."" You have to cram everything in his lecture and vomit out answers. So how do you study for this exam? have a topic and practive writing down everything you can think of. Then grade yourself on how many points/ keyterms you mentioned on the relevant topic. They grade based on specific terms. They dgaf if it is right or wrong.  You have to meet the criteria. I studied a butt load...but so does everyone else... good luck haha"
Barnett A Schlinger,NA,Foundations in Physiological Science,PHYSCI 111B,N/A,"I like the way he lectures although he does mumble alot . I studied really hard for his test because I heard how he is nit picky. He asks some really vague questions which could have been answered multiple ways but just try to write everything you know. And some that focused on info we barely went over in class, but its a physci class sooo its gonna be hard "
Barnett A Schlinger,NA,Foundations in Physiological Science,PHYSCI 111C,N/A,"Stupid test format. You could spend 100 hours memorizing garbage but none of it will show up on the test. He looks for key words, its all by luck because theres no way to know what key words he looks for. Talks like a WWF announcer, can't write exams for shit, quizzes are useless. Good thing 111C is never being taught again. "
Barnett A Schlinger,NA,Foundations in Physiological Science,PHYSCI 111C,N/A,"Everyone ""likes"" his lectures, but if you take a minute to think about it, its terribly inefficient. Moves at a snail pace because he has to write everything down and draw all the pictures. What could be covered in 30 min is covered in 1 hour. discussions are mandatory and  smell like turd. his midterm suck the round things between my legs (i'm a guy). his entire exam is free response, and because they are standardized tests for 150 some students, they TAs look for key words and give points accordingly. spend hours memorizing details and forget about concepts to ace his tests. "
Laurie K Hart,NA,Globalization: Contemporary Issues,GLBL ST 100B,B,Hart is  a HORRIBLE lecturer. She literally is all over the place with her lectures. There is absolutely no sense of cohesion or some sort of narrative in her lectures. She talks about random case studies and random ideas and nothing makes any sense. And her tests are way too long for the time allotted and the paper prompts literally make no sense. Avoid taking her at ALL COSTS. One of the worst professors I have ever taken.
Laurie K Hart,NA,Globalization: Contemporary Issues,GLBL ST 100B,B+,"I agree with the previous review. The material was definitely interesting but Professor Hart is not a very good lecturer. She was often hard to follow at times and she spoke very broadly about concepts so it was pretty hard to make connections across a lot of them when it came time for the exams. The ""study guide"" she provided for both the midterm and final consisted of a crazy long list of terms (basically everything ever mentioned in lecture), so it was hard to know and prioritize what would be most important. The exams consisted of ID terms, short answers of 3-4 sentences, and then little essays of 2-3 paragraphs. The two paper assignments were relatively easy though. The first one (2-3 pages) had us go to an exhibit at Fowler and make a connection between an artifact and one of the terms from the course. The second paper (3 pages) had us find a current event going on somewhere across the world and connect it to any concepts that were discussed in two of the readings from the course. Discussion also mattered because attendance was taken and we were assigned to groups that would then present to the class on a specific week's readings. With a different professor, I think this class has the potential to be so much better than it was for us this past quarter."
Laurie K Hart,NA,Globalization: Contemporary Issues,GLBL ST 100B,B+,"There's so much potential (especially in this course!) for the material to be interesting and at times Hart hits the mark but, put quite simply, Hart is a BAD LECTURER.  The class includes 1 midterm, discussion participation, 2 essays, and a final. The midterm and essays are relatively essay. Discussion ranges by TA...some are tough graders so beware. Final hit me hard; there was a lot of information to memorize and Hart does a bad job of clearly explaining what students should prioritize. Consensus: Nice person, but avoid her GS 100B course if you can."
Abigail Ruth Levine,NA,Archaeology: Introduction,ANTHRO 8,N/A,"I took Anthro 8 with her, and honestly if given the option to go back in time, I would not take it again with her. There have been multiple instances where i've dozed off in lectures because all she does is read off the slides; hence, lectures are rather boring. She also expects you to do intense reading of the textbook, and there are just so many tiny, irrelevant details she tests you on. I'd say I put in a decent amount of effort into this class, but it wasn't enough to get an A. On the other hand, discussions were fun! Basically, if you're REALLY good at memorizing and mugging up a whole bunch of tiny details and information, then take this class. If you're not EXTREMELY good at memorization, DO NOT take this class with Levine. Anthro 8 is supposed to be an easy class, but with Levine it is the exact opposite. "
Abigail Ruth Levine,NA,Archaeology: Introduction,ANTHRO 8,N/A," Please don't take her. Just don't do it to yourself. Unless you want to take a class with a professor who sits and reads from the slides and expects you to then go off and memorize every single fact in the textbook and lectures that she ever mentioned, I would avoid her at all costs. ANTHRO 8 is supposedly easy but she made it horrible because of her absurd tests. The first midterm had a 70% average, the final didn't have a distribution, but the highest score I even heard of was a B+. The two papers they grade somewhat hard.  This is an UNCURVED CLASS. Which means that about  20 OUT OF 240 got A's and A-'s. That is bullshit.  I promise you that she is not at all a good professor and you will not get a good grade so please avoid her at all costs unless you like getting a B after working your ass off for a stupid GE. "
Abigail Ruth Levine,NA,Economic Anthropology,ANTHRO 143,N/A, I really enjoyed Economic Anthropology with Professor Levine. She is a great lecturer presenting information in an engaging manner often linking economic theory to contemporary situations or discussing her research in Peru without resorting to a powerpoint of holiday snaps! There was frequent engagement in discussion by most students enrolled and attendance was always high - surely a good sign. Both Professor Levine and her TA's are very fair markers and the questions for class papers are interesting and allow you to pick up marks by showing an understanding of the concepts. Readings were also pretty engaging on the whole.  I would definitely recommend this class and Professor Levine in general - I assume her other classes are equally worthwhile as her lecture style is a lot of fun and keeps you interested throughout.
Abigail Ruth Levine,NA,Evolution of Human Societies,ANTHRO 1530,N/A,Not a good professor.  She requires 8 expensive textbooks and also assigns tons of extensive journals to read.  
Ashley Micklos,NA,Selected Topics in Linguistic Anthropology,ANTHRO 159,C+,"Not a huge fan. She was intimidating on the first day, strictly warning students we wouldn't even be able to leave our house for our take-home midterm because it was going to be THAT rigorous. Well, she wasn't kidding. So, the subject matter is fascinating of course, but Micklo's instructions were not ever clear to me and many other students. Most of the class got a C or below on the midterm and students were LINED UP outside her office for office hours. This class is based on pure memorization of terms. I found myself working extremely hard only for her to continuously find deficiencies in my work without offering clear advice."
Kyeyoung Park,NA,Evolutionary Psychology,ANTHRO 124Q,N/A,"I took her Korean American experience class, which is not difficult. One midterm, paper, and take home final are easy. But to be honest, I think she is probably one of the worst Asian Am professors I've had. I thought that some of these reviews might be biased, but after taking her class I have to say some of the concerns are definitely spot on. Firstly, professor park makes very uncomfortable(if even borderline racist) remarks when comparing Koreans to other races. The worst is when she laughs after those remarks. I'm not sure if its a nervous laughter or uncontrollable, but seriously she needs to stop doing that. She alienates so many of her non-Asian students through her remarks and I saw almost half of them drop after the first week. Makes me really worried that she says she's going to be teaching a course on racism next quarter.Her lectures are meandering and most students can't even follow her reasoning. She ALWAYS goes past the lecture time, which is pretty inconsiderate of her since most students have other classes to attend.Also, she puts such a huge emphasis on the LA riot and Korean-latino relations because of her research and makes us do a bunch of unnecessary and irrelevant research on it too. She also provides so many readings that she will never discuss in class. She makes you read the manuscript for her book, which for the most part is convoluted and nobody cares about. Basically, a waste of my time taking this class."
Kyeyoung Park,NA,Korean American Experience,ASIA AM 132A,N/A," I am a senior Asian American studies double major with Psych. I have taken many classes in both fields and I LOVE Asian Am. However, this is the single worst class I have ever taken at UCLA. It is not hard or complicated, but the professor (Park) is absolutely awful. Not only does she not care about her students, and not encourage class discussion, her assignment to interview a ""latino customer"" person and a ""korean store owner"" is absolutely ridiculous and frankly was insulting because of the racial slurs and stereotypes it actually ENCOURAGED. Her lectures are biased and she displays hints of racism if not surface level biases that she attempts to brainwash the class with.  This class was insulting because she is racially insensitive and she frequently blurts out biased opinions in her pointed remarks. She has said stupid things like ""second generation koreans do not  study as much because they are more american,"" or ""what does it mean for koreans if they all become ministers"" (while laughing because she thinks they should ""become lawyers and doctors instead"").  Do not take this class or any other class with this professor, she does not represent anything related to Asian American studies because it is an amazing major. "
Kyeyoung Park,NA,Korean American Experience,ASIA AM 132A,B+,"I originally took this class because I needed extra units. This quarter I took 16 units and was in hope for something easy. This class had doable work but she graded harshly, gave no extra credit and honestly her lectures are heavily biased towards Korean Americans. Did not provide much clarity on what she is looking for in our research paper and did not round for borderline grades. What I would turn in would be A work for other professors but B work according to her. This professor and course honestly disappointed me. I wouldn’t recommend this class or this professor. Save yourself because it’s not an A and she won’t give you one even if you are 1% off."
Kyeyoung Park,NA,Korean American Experience,ASIA AM 132A,A,"I really recommend taking this class. Professor Park is very kind and always there for her students. She encourages everyone to do their best and creates a welcoming environment in her class. There are 3 take-home assignments; the midterm essay, interview project, and final essay. All of which are fair as the Professor provides all the articles she wants students to use in the assignments. The professor also had guest speakers in class which were very nice to hear from. I recommend this class!"
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,A-," This class was very....interesting, and I was admittedly hesitant going into it due to the other reviews.  The class required one midterm and one paper throughout the quarter. The midterm was a series of short answer questions, and she gave very conflicting answers on how she wanted it to be graded. I would say hit every point she mentions on the midterm exam sheet and you should be okay. The final paper was an ethnographic style analysis of a topic of your choice related to COVID-19 and race (again, the directions were kind of vague, but TA tried his best to break things down.)  For lectures: It was extremely hard to follow along in lectures, because not only does she use outdated language (ex. 'the Blacks were very upset by..) but the presentation slides used were overall non-cohesive and unclear. Essentially, she is repeating everything from the reading. Attendance is occasionally checked.  Reading: I would say do as much of the reading as you can leading up to the midterm, but then after that, you can focus on the material pertaining to your paper. Fortunately, the reading topics themselves are clear and engaging, and I did get a more in-depth perspective of the LA riots (the book that she wrote.)  I feel like sticking to the (very much so outdated) reading helped a lot, albeit a little repetitive by the end of the quarter.  Overall workload: It is manageable, just make sure you run the directions past your TA as for what they are looking for in your papers because following along with the professor is very confusing. As someone with a heavy courseload and student-worker, I got through the quarter without dedicating an unfair portion of time. This class felt a bit tedious but not unmanageable."
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,A," grading scheme (total 120 points):participation 30 ptsmidterm 60 ptsfinal 30 pts TL;DR: don't take this class with this prof dr. park gave unclear instructions for everything. participation rules were foggy beginning week 3 when she returned the class in person; no one was clear on what they had to do to receive full participation points. she also changed the participation rules at least once which made it even more confusing. the midterm rules, which should have been straightforward, were made unclear by her. for the final, she was incredibly unclear on what EXACTLY she wanted to see. are we required to interview 3 people? do we have to do participant observation? both/neither? do we have to turn in field notes/transcripts? no clue. the burden was on TAs to decide, so each TA gave their students different instructions. it was incredibly stressful to put our projects together for this reason. additionally, even though she 1. offered a zoom meeting during lecture, 2. recorded the zoom meeting and posted it on bruinlearn, 3. uploaded lecture slides, and 4. only lectured on reading material adding nothing new, she required in person participation. there was no check of symptom monitoring surveys, no mask requirement, nothing. she required us all to risk our health to receive no new information and an unengaging lecture. there was no need to have in person requirements for lectures because there was no activities. there was no reason to go other than she wants it that way. the cherry on top is that the final project was supposed to be due friday of week 10. people asked for it to be moved so she moved it to monday of finals week. that's fine, no complaints. then she moved it to friday of finals week, so we were all really happy! fast forward to thursday of week 9 and she says it's due monday of finals week again. once again, flip flopping between instructions and putting the brunt on TAs, who were kind enough to allow extensions to those of us who had planned out our project around the friday due date. she also had everyone do their evaluations in class two days before she did this, so most people could not even include this detail in their evals. sick behavior."
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,A+,"Prof Park is a great professor. The time that I took this class was during the protests, and she and her TAs were accommodated students by cancelling the final. Her exams were essay format with page maximums and a lot of questions to answer. Get familiar with the material before exams are due in order to write short, yet very specific, responses."
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,A,"This class was easy, straightforward, and had a light workload. The lectures were dry, but Professor Park posts the lecture slides on CCLE before the midterm and final so we can use them while studying for the exam. Going to class wasn't very helpful, and I only went because Park takes attendance (which counts in your grade). She assigns very long readings, and I didn't bother doing them. In addition to participation, your grade is also based on a midterm and final, which are both short essay style. She gives the study guide a week before the exams and the exam is based on the readings. I would only do the readings mentioned on the study guide and take notes on them for the short essays.  This strategy worked well for me. The midterm is in class but the final exam is take home."
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,N/A,"I thought she was a very good professor! Probably one of the best I've had at UCLA. She actually makes me want to pursue Social Anthropology for grad school!I don't know why people are saying her lectures are disorganised because that is the complete opposite from my experience. It is in fact super organised and she even pauses briefly to allow people to finish copying down her slides before she starts talking. Genius!She gave out the questions for the exams ahead of time so we could prepare. She even briefed us days before so we would know exactly what she wanted to see in our essays.Also, I don't know why someone claimed her grading is hard because she gave me a 100% on my midterm, which she also gave to a handful of people in my class. It might just be my first 100% on a blue book ever!The grading was 40/60 midterm/final. The midterm was an in-class bluebook and the final was a take home. Pretty straight forward essay questions, which I liked. Not at all designed to confuse you. She also bumped grades up with extra credit for attendance, which everyone else liked.Her research on Race is pretty cool. She even created a linear model the outlined race relations! If you need some solid background in Social Anthropology, I think this class is essential.Yes, her accent is thick, but still very understandable. And I'm deaf on one ear. Also, come on people, you're Anthropologists; don't mock people with accents. SMH!!"
Kyeyoung Park,NA,Constructing Race,ANTHRO M144P,N/A,Graded fairly hard on exams.  Class average was low and was not curved unless we all did bad on final.  Lectures were long and went over the readings.  Had to do readings to do well though becasue she asked super detailed exam questions.
Kyeyoung Park,NA,Urban Anthropology,ANTHRO 146,N/A,"prof park is extremely intelligent, but often misunderstood. if you have a knack for understanding accents, there shouldn't be much of a problem taking one of her classes. i would still say to make sure you get a good TA that can emphasis her points and the material. Also, prof park showed concern for students to do well and is a very nice person in general."
Kyeyoung Park,NA,Urban Anthropology,ANTHRO 146,N/A,"Since there is no real verbal feedback about this professor yet, I will blaze the trail. I have her currently for Anthro 167 and all I have to say is if you are considering taking a class of hers: don't. I can't really attack her for her speaking skills, as she is from Korea which makes her quite difficult to understand, but I CAN attack the content and style of her lectures. Basically, they are pointless to go to as they are just a summary of the readings for the week. And she has trouble explaining basic concepts in the readings. I feel more confused at the conclusion of a lecture than I do at the beginning. Though she is an extremely nice woman, she falls short of being an effective professor."
Kyeyoung Park,NA,Constructing Race,AF AMER M159P,A,"Never take a class with this professor. This class was infuriating, and not because you learn about racism – the professor does not know how to teach. I have never wanted to drop out of a class so badly."
Kyeyoung Park,NA,Constructing Race,ASIA AM M169,A,"Professor Park is not at all a great professor, and I would not recommend taking her. She obviously is well-educated within her area of expertise, but that does not translate to how she teaches. Her lectures are incredibly confusing and do not follow a set theme, she does not listen well to student feedback (although she claims that she does), and she kept changing course requirements well into the quarter. She somehow made an interesting topic like Constructing Race incredibly grueling."
D Rudner,NA,Selected Topics in Regional Cultures,ANTHRO 169,A,"*THIS REVIEW IS FOR ANTHRO 9*Truly Truly Rudner is possibly the most unclear and un-engaging professor I have ever had. He frequently goes on tangents that are not relevant to the course and his powerpoints are boring. By powerpoints I mean the really subpar notes he crudely wrote in a word document that has such small font that most people can't read it. Honestly, you will probably get a decent grade in the class because your TA knows how clueless Rudner is and will take pity on you; it's not even a particularly difficult class, it is just so horrendously organized. Just don't take Anthro 9 with Rudner, it will absolutely not be fun."
D Rudner,NA,Selected Topics in Regional Cultures,ANTHRO 169,N/A,"**HEADS UP THIS REVIEW IS FOR ANTHRO 9**TAKE ANTHRO 9 WITH ANY OTHER PROFESSOR!! AVOID RUDNER AT ALL COSTS!!! I don't know what I could have possibly done during my lifetime to end up with a professor as horrible and incompetent as Rudner but it must have been something pretty bad. This man has a phd in PHILOSOPHY. I have absolutely no idea why he was considered to teach this course. He has an attitude when it comes to answering questions and 99% of the time he doesn’t answer the question at all, expecting his students to figure out what he has to say. This class is much too specific for an introductory anthro class about culture and society.  We spent half the quarter on the history of cultural anthropology. That’s fair. But the second half was entirely spent on the Trobriand Islands and very specific aspects of the Trobriand Islands too. One plus side is the fact that there are no in class exams, only take home papers (2 papers and a final paper worth 20%, 20%, and 25%). BUT when you are expected to write papers about the Trobriand Islands and end up talking about South India 70% of the time in class when he isn’t trying to spend an excessive amount of time trying to figure out the “iClicker technology”...I don’t know what to tell you. TA's will most likely take pity on you, they took pity on us. Honestly I learned everything from my TA. The last part of the quarter you read a book about HIV/AIDS in the Trobriand Islands which is way too specific for an introductory class. People stayed for the first 20 minutes only for the clicker questions and then slowly started leaving."
D Rudner,NA,Selected Topics in Regional Cultures,ANTHRO 169,F,"***THIS REVIEW IS FOR ANTHRO 9***For all that is good in this world, do not take this class with this professor. It was by far the worst class I have taken during my time at UCLA. This class was the definition of a joke. This was supposed to be an intro to cultural and social anthropology, but we spent the better half of the quarter focused on the Trobriand Islands and their culture...that is too specific for an introduction course. It got to the point of being irrelevant, and the work was highly uninteresting. The professor would often be teaching for a while and then suddenly say that he is not sure whether he has the information right or not. He even had the gall to say that he arrived unprepared for lecture and then proceeded to read his lecture to us from a write up he brought. After a couple lectures, people started to just show up for the in-class quizzes and then leave right after. The in-class quizzes were also impossibly specific at times, even for those who did the readings. He would focus on irrelevant details instead of concepts that seemed important. The TAs would agree with us, but there's not much they can do in that regard. Thankfully, there were no in-class midterms or finals, but rather 2 take home midterm exams that were 6-8 pages, as well as a take home final that was also a 6-8 page paper. Many people complained about the prompt for the final essay because it seemed redundant, and he of course would not be willing to change or make it clearer. Although he is an old man and you tend to want to feel sorry for him, the waste of time and money doesn't excuse his lack of professionalism and presentation. DO NOT TAKE THIS PROFESSOR IF YOU KNOW WHAT IS GOOD FOR YOU."
Bonnie Taub,NA,Fiat Lux Freshman Seminars,LATN AM 19,N/A," IA STD 50B+I went to her office hour and waited for 50 minutes before she came... Don't take her If you HAVE to take this class, make sure take it with lots of friends and divide up the reading and study together because it's a lot of reading and books to buy. "
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,F,"It's an easy GE alright, but that doesn't mean you get to slack off and space out during lecture. Professor Taub does uses slides, but they're very bare and offer little to no information needed for the exams. If you scour hard enough, you can find the textbook and books online, but personally I bought both required novels. It's important to pay attention to what she says in lecture, and especially the videos she shows in class. Professor Taub herself is very sweet and caring about her students. She even gave us a 5 day extension for submitting our take-home midterm because many students emailed her saying the deadline was too early. The course content itself is heavily focused on Latin American issues, culture, and major events, so you're expected to know a little historical context from the textbook. Other than that, I regretted not being able to take this course during in-person, as I'm sure Professor Taub is wonderful to get to know in-person."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"Bonnie is by far one the best professors I've had at UCLA. This class is very easy and the topic is interesting. The midterm was easy as long as you read the assigned book, skimmed the textbook and went to class regularly. The paper assignment is long, but relatively easy and pretty much everyone in the class got an A on it. Bonnie is clearly passionate about Latin America and makes this class applicable to all majors by including political, medical, anthropological (etc) topics to the class."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A," here's all you need to know about Prof. Taub.PROS:- she is a really nice, considerate professor- she extends deadlines if the class is at consensus- class goes by pretty fast, not boring at allCONS: - HEAVY reading - 2 chapters per week (approx. 150 pages) + two essay questions - read one news article per week, write a reflection - multiple books (100-300 pages) to be read throughout the quarter (on your own)- multiple films (1-3 hours) to be watched (on your own) - you better do all that bc the test is on everything above + all her slides + you must know all the countries and landmarks on a map of Latin AmericaBTW the midterm was 12 pages long (multiple choice, short answer, AND one essay question)  so basically....she is a genuinely good person who is considerate of her students BUT her workload is questionable to say the least. good luck friend! - a fellow bruin"
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"Professor Taub is easily one of the nicest, most passionate professors I've had at UCLA. Her work in the field is super interesting and hugely diverse, and she has a lot to say about her experiences and is very knowledgable about the subjects covered in IA STD 50. A lot of the topics covered in this class are super interesting and will definitely open your eyes and make you think. That being said, there is a lot of reading for this class. The tests are decently in depth, and there is definitely a lot of material to understand along with a lot of things to memorize. The interview research paper also was a ton of work, and took a couple of weeks at least to gather all the facts and data you need, interview your subject, make sure of its accuracy, and actually write the paper. Even though this research paper was super involved and difficult at times, it was genuinely very interesting to learn from a first hand account. It makes you realize the themes and subjects you are studying in class are present in the experiences of someone right in front of you, and humanizes everything this class stresses over the course of the quarter."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"I absolutely loved learning about Latin America, but I felt like Professor Taub's lectures were not super helpful towards the midterm and final. I enjoyed this class too because there was no discussion, which actually might have been helpful to have. In all honesty, you do need the textbook for this class. But don't fear. It should be on course reserves in the library. I didn't have to buy mine because of this. There is a lot of content to go over, but it isn't too understand. Professor Taub does create a brief study guide list. Most of the questions on the exams are pretty specific, therefore it is important to read from the textbook. I believe that for every lecture section (2x a week) we had to turn in a printed copy of a current news event on a country in Latin America and write a brief summary of the article and some thoughts. Professor Taub is very sweet, but she is a bit forgetful. She also never claims to know everything which is great compared to other professors. She also speaks a whole bunch of languages and has worked abroad. There is a pretty long essay we have to write where we interviewed someone who has lived in a country in Latin America and discuss their experiences and how they coincide with the events at that time. I recommend doing this as soon as possible because the essay does require a lot of time and research to be accurate. As long as you did all the readings (or just skimmed the main points) and the essay to your best abilities, it is highly likely that you will get and A."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"Professor Taub is not only a great professor but also a super sweet person. It's easy to tell that she is very passionate about what she teaches and she is very willing to help students understand and learn the material well. There are frequent homework assignments and lecture attendance is taken through those homeworks, the assignments are all super helpful in understanding the material. The exams are not too challenging as long as you pay attention to lecture and ask Professor Taub if you have any questions. She'll go over it as many times needed too! She's great!!"
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"This was my favorite class Winter Quarter! Professor Taub is a really kind woman, and an engaging lecturer. The midterm was super easy, and the final paper, which was an ethnographic interview/research paper on change in Latin America, was actually fun to write. The novels she assigns make up most of the exams, but they are short and interesting reads. She also allows for three extra credit assignments, which require you to do anything related to Latin America (read a book, listen to a song, watch a movie, visit a museum, etc.) and write a half-page response to it. Overall, I highly recommend this class and Professor Taub!"
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,N/A,"Coming into this class, I knew little about Latin America. I am much more open minded and informed about the subject after taking this class. I really enjoyed Professor Taub as a person. Her lectures were engaging and she had so many diverse personal experiences to share with us. She does give extra credit, which helps a lot. Here is a breakdown:Class Attendance is important! You have to turn in an article every class to earn your attendance marks. Although she does upload her powerpoint to CCLE, she will put very general words like 'anthropology' or 'Mayans'... which does help at all unless you are in lecture.Midterm was a breeze if you read the books and went to lecture. However, the final intensely focused on material in the textbook. It was kind of a surprise. The books are necessary!!! Buy them and read them!!!Although this class was the most work I've done for a GE, it really was not that bad. I would take it again just because Professor Taub was so lovely and engaging."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,"Dr. Taub was great, I really loved her as a person. She was incredibly sweet. Her class was awesome, we learned so much about Latin America, and she had many first hand experiences to share with us. We did read a lot, but the work load was not that bad. Overall I had a great experience with her."
Bonnie Taub,NA,Introduction to Latin America,I A STD 50,A,Learned a lot about Latin America which I was otherwise ignorant before. Really friendly and funny professor. Not a harsh grader at all. Material is engaging and relevant. One of my fav professors at UCLA. Easy A as long as you out the work in which doesn't take that much effort. Many extra credit events to attend which she greatly appreciates and rewards you for. 10/10 recommend this professor and class
Bonnie Taub,NA,Intergroup Dialogue: Peer Dialogue,COM HLT 60,N/A," IA STD 50B+Worst.She is nice. But she was gone for 3 weeks and gave us midterm on week 6 saying ""not all the things we covered in the class will be on the midterm.""One thing we did do in class a lot was watch documentaries which we were tested on.WTFShe is extremely unorganized.Her powerpoints slides are just sad.She didn't even let us know our midterm grades until the final grades came out... so we didn't know how well we did on the midterm until we got our final grade. Don't take any class with Bonnie."
Bonnie Taub,NA,Introduction to Community Health Sciences,COM HLT 100,N/A,"cant say that it was the most interesting class ive taken, but it was definitely one of the most laid back classes i have had. i never really stressed out about it. the material was easy if u just memorize all the slides and slightly pay attention in lecture, mostly to her lectures since the guest lecturers were sometimes boring and we werent as heavily tested on them. this class can either get u a really good grade or a really bad one. dont think its easy enough to just not study because u MUST memorize everything if u want to tackle her test, which isnt hard since the material itself is easy and very understandable. much of it is common sense just talking about poverty and how it affects peoples health. u do need the books because she will ask some questions about specific studies from the books but she will tell you what they are on her study guides..etc."
Bonnie Taub,NA,"Health, Disease, and Health Services in Latin America",COM HLT 132,A-," Biggest qualm with this class has to be the exam. There was only one final exam for the whole quarter, which was nice to not have a midterm, but I felt that the questions were really specific and focused on statistics and random knowledge memorization (ie. prevalence of diseases per country). There was some multiple choice and some free response but I ended the class not sure where my grade would land because I definitely guessed on some. And it's not like more studying would have helped me, I did review a lot of material and some questions that were asked simply were not emphasized in class. There were also 2 papers which were .. doable I suppose?  Dr. Taub is a decently nice person, but for some reason doesn't like it when students take notes on iPads or laptops. This was discouraging because there were instances where activities were only allowed to be submitted on paper and students were told in class to put their note-taking devices away (to ensure we wouldn't be distracted during class). I felt this policy was strange and left many students staring at the slides, unable to take notes or retain much information from the 3 hour seminar. Also the way individual lectures were structured was disorganized and didn't facilitate much discussion (which I was hoping to experience from a class of only 20 people) but a list of words on a blank white slide did little to fully illustrate the magnitude of suffering and health problems in Latin America. Small point but it also felt like the ""savior complex"" was promoted in a couple lectures and that just didn't feel right. If you have other options, I'd only recommend to take this class if you're really passionate about Latin America, natural disasters, etc. Food is mentioned but I feel that the class is more about structural issues and disease than malnutrition."
